[2025-03-18 15:14:35,976]14 root - INFO - Initiate data ingestion
[2025-03-18 15:14:38,018]69 root - INFO - Performed train test split on the dataframe
[2025-03-18 15:14:38,018]71 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-03-18 15:14:38,018]79 root - INFO - Exporting train and test file path
[2025-03-18 15:14:38,072]89 root - INFO - Exported train and test file path
[2025-03-18 15:14:38,072]16 root - INFO - Data Ingestion Completed
[2025-03-18 15:14:38,079]20 root - INFO - Initiate the data validation
[2025-03-18 15:14:38,131]36 root - INFO - Required number of columns : 2
[2025-03-18 15:14:38,131]37 root - INFO - Dataframe has columns : 31
[2025-03-18 15:14:38,131]36 root - INFO - Required number of columns : 2
[2025-03-18 15:14:38,133]37 root - INFO - Dataframe has columns : 31
[2025-03-18 15:14:38,253]22 root - INFO - Data Validation Completed
