[2025-03-18 15:10:45,283]14 root - INFO - Initiate data ingestion
[2025-03-18 15:10:49,251]69 root - INFO - Performed train test split on the dataframe
[2025-03-18 15:10:49,251]71 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-03-18 15:10:49,252]79 root - INFO - Exporting train and test file path
[2025-03-18 15:10:49,305]89 root - INFO - Exported train and test file path
[2025-03-18 15:10:49,305]16 root - INFO - Data Ingestion Completed
[2025-03-18 15:10:49,313]20 root - INFO - Initiate the data validation
[2025-03-18 15:10:49,402]36 root - INFO - Required number of columns : 2
[2025-03-18 15:10:49,402]37 root - INFO - Dataframe has columns : 31
[2025-03-18 15:10:49,402]36 root - INFO - Required number of columns : 2
[2025-03-18 15:10:49,404]37 root - INFO - Dataframe has columns : 31
