[2025-03-30 00:26:20,817]16 root - INFO - Initiate data ingestion
[2025-03-30 00:26:24,368]69 root - INFO - Performed train test split on the dataframe
[2025-03-30 00:26:24,368]71 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-03-30 00:26:24,368]79 root - INFO - Exporting train and test file path
[2025-03-30 00:26:24,436]89 root - INFO - Exported train and test file path
[2025-03-30 00:26:24,437]18 root - INFO - Data Ingestion Completed
[2025-03-30 00:26:24,470]22 root - INFO - Initiate the data validation
[2025-03-30 00:26:24,559]36 root - INFO - Required number of columns : 2
[2025-03-30 00:26:24,559]37 root - INFO - Dataframe has columns : 31
[2025-03-30 00:26:24,559]36 root - INFO - Required number of columns : 2
[2025-03-30 00:26:24,560]37 root - INFO - Dataframe has columns : 31
[2025-03-30 00:26:24,752]24 root - INFO - Data Validation Completed
[2025-03-30 00:26:24,753]26 root - INFO - Initiate the data Transformation
[2025-03-30 00:26:24,753]69 root - INFO - entered initiate_data-_tansformation function of datatransformation class 
[2025-03-30 00:26:24,753]71 root - INFO - starting data transformation
[2025-03-30 00:26:24,774]55 root - INFO - entered get_data_transformer_object function of datatransformation class
[2025-03-30 00:26:24,774]61 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-30 00:26:24,787]57 root - INFO - entered the save_object function of mainutils class
[2025-03-30 00:26:24,804]61 root - INFO - exited the save_object function of main utils class
[2025-03-30 00:26:24,805]31 root - INFO - Data Transformation Completed
[2025-03-30 00:26:24,806]32 root - INFO - Initiate the model training
