[2025-03-18 15:12:44,303]14 root - INFO - Initiate data ingestion
[2025-03-18 15:12:47,140]69 root - INFO - Performed train test split on the dataframe
[2025-03-18 15:12:47,141]71 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-03-18 15:12:47,141]79 root - INFO - Exporting train and test file path
[2025-03-18 15:12:47,197]89 root - INFO - Exported train and test file path
[2025-03-18 15:12:47,197]16 root - INFO - Data Ingestion Completed
[2025-03-18 15:12:47,204]20 root - INFO - Initiate the data validation
[2025-03-18 15:12:47,246]36 root - INFO - Required number of columns : 2
[2025-03-18 15:12:47,246]37 root - INFO - Dataframe has columns : 31
[2025-03-18 15:12:47,246]36 root - INFO - Required number of columns : 2
[2025-03-18 15:12:47,247]37 root - INFO - Dataframe has columns : 31
[2025-03-18 15:12:47,377]22 root - INFO - Data Validation Completed
